timestamp (UTC),Swallow duration_time (4f506705-a7fb-4291-b93e-31b730553017)
2021-03-10 13:30:44.429,120.0
2021-03-10 16:56:26.505,120.0
2021-03-10 20:22:08.509,120.0
2021-03-10 23:47:50.349,120.0
2021-03-11 03:13:32.457,120.0
2021-03-11 06:39:14.521,120.0
2021-03-11 10:04:56.301,120.0
2021-03-11 13:30:38.268,120.0
2021-03-11 16:56:20.438,120.0
2021-03-11 20:22:02.418,120.0
2021-03-11 23:47:44.429,120.0
2021-03-12 03:13:26.372,120.0
2021-03-12 06:39:08.524,120.0
2021-03-12 10:04:50.312,120.0
2021-03-12 13:30:32.581,120.0
2021-03-12 16:56:14.523,120.0
2021-03-12 20:21:56.462,120.0
2021-03-12 23:47:38.289,120.0
2021-03-13 03:13:20.478,120.0
2021-03-13 06:39:02.448,120.0
2021-03-13 10:04:44.444,120.0
2021-03-13 13:30:26.336,120.0
2021-03-13 16:56:08.460,120.0
2021-03-13 20:21:50.465,120.0
2021-03-13 23:47:32.425,120.0
2021-03-14 03:13:14.502,120.0
2021-03-14 06:38:56.314,120.0
2021-03-14 10:04:38.490,120.0
2021-03-14 13:30:20.337,120.0
2021-03-14 16:56:02.391,120.0
2021-03-14 20:21:44.450,120.0
2021-03-14 23:47:26.306,120.0
2021-03-15 03:13:08.374,120.0
2021-03-15 06:38:50.426,120.0
2021-03-15 10:04:32.352,120.0
2021-03-15 13:30:14.456,120.0
2021-03-15 16:55:56.446,120.0
2021-03-15 20:21:38.273,120.0
2021-03-15 23:47:20.525,120.0
2021-03-16 03:13:02.340,120.0
2021-03-16 06:38:44.341,120.0
2021-03-16 10:04:26.542,120.0
2021-03-16 13:30:08.513,120.0
2021-03-16 16:55:50.518,120.0
2021-03-16 20:21:32.481,120.0
2021-03-16 23:47:14.480,120.0
2021-03-17 03:12:56.463,120.0
2021-03-17 06:38:38.242,120.0
2021-03-17 10:04:20.429,120.0
2021-03-17 13:30:02.448,120.0
2021-03-17 16:55:44.490,120.0
2021-03-17 21:11:21.768,120.0
2021-03-17 21:48:08.752,120.0
2021-03-17 23:50:18.351,120.0
2021-03-18 02:30:18.606,120.0
2021-03-18 05:10:18.580,120.0
2021-03-18 07:50:18.506,120.0
2021-03-18 10:30:18.735,120.0
2021-03-18 13:10:18.531,120.0
2021-03-18 15:50:18.598,120.0
2021-03-18 18:30:18.438,120.0
2021-03-18 21:10:18.542,120.0
2021-03-18 23:50:18.547,120.0
2021-03-19 02:30:18.531,120.0
2021-03-19 05:10:18.585,120.0
2021-03-19 07:50:18.449,120.0
2021-03-19 10:30:18.651,120.0
2021-03-19 13:10:18.521,120.0
2021-03-19 15:50:18.420,120.0
2021-03-19 18:30:18.602,120.0
2021-03-19 22:46:58.208,120.0
2021-03-19 23:09:25.440,120.0
2021-03-20 01:49:25.529,120.0
2021-03-20 04:29:25.444,120.0
2021-03-20 07:09:25.206,120.0
2021-03-20 09:49:25.203,120.0
2021-03-20 12:29:25.412,120.0
2021-03-20 15:09:25.304,120.0
2021-03-20 17:49:25.364,120.0
2021-03-20 20:29:25.314,120.0
2021-03-20 23:09:25.273,120.0
2021-03-21 01:49:25.367,120.0
2021-03-21 04:29:25.222,120.0
2021-03-21 07:09:25.323,120.0
2021-03-21 09:49:25.458,120.0
2021-03-21 12:29:25.249,120.0
2021-03-21 15:09:25.440,120.0
2021-03-21 17:49:25.488,120.0
2021-03-21 20:29:25.259,120.0
2021-03-21 23:09:25.316,120.0
2021-03-22 01:49:25.219,120.0
2021-03-22 04:29:25.465,120.0
2021-03-22 07:09:25.303,120.0
2021-03-22 09:49:25.244,120.0
2021-03-22 12:29:25.414,120.0
2021-03-22 15:09:25.246,120.0
2021-03-22 17:49:25.346,120.0
2021-03-22 20:29:25.552,120.0
2021-03-22 23:09:25.403,120.0
2021-03-23 01:49:25.389,120.0
2021-03-23 04:29:25.379,120.0
2021-03-23 07:09:25.298,120.0
2021-03-23 09:49:25.333,120.0
2021-03-23 12:29:25.354,120.0
2021-03-23 15:09:25.403,120.0
2021-03-23 17:49:25.292,120.0
2021-03-23 20:29:25.388,120.0
2021-03-23 23:09:25.253,120.0
2021-03-24 01:49:25.305,120.0
2021-03-24 04:29:25.249,120.0
2021-03-24 07:09:25.479,120.0
2021-03-24 09:49:25.446,120.0
2021-03-24 12:29:25.277,120.0
2021-03-24 14:36:18.574,120.0
2021-03-24 14:47:14.257,120.0
2021-03-24 17:27:14.345,120.0
2021-03-24 20:07:14.240,120.0
2021-03-24 22:47:14.206,120.0
2021-03-25 01:27:14.312,120.0
2021-03-25 04:07:14.298,120.0
2021-03-25 06:47:14.244,120.0
2021-03-25 09:27:14.337,120.0
2021-03-25 12:07:14.300,120.0
2021-03-25 14:47:14.176,120.0
2021-03-25 20:26:59.518,120.0
2021-03-25 20:33:14.357,120.0
2021-03-25 23:12:14.891,120.0
2021-03-26 01:52:14.783,120.0
2021-03-26 04:32:14.933,120.0
2021-03-26 07:12:14.924,120.0
2021-03-26 09:52:14.875,120.0
2021-03-26 12:32:14.823,120.0
2021-03-26 15:12:14.902,120.0
2021-03-26 17:52:14.903,120.0
2021-03-26 20:32:14.880,120.0
2021-03-26 23:12:14.863,120.0
2021-03-27 01:52:14.799,120.0
2021-03-27 04:32:14.747,120.0
2021-03-27 07:12:14.922,120.0
2021-03-27 09:52:14.944,120.0
2021-03-27 12:32:14.753,120.0
2021-03-27 18:30:34.795,120.0
2021-03-27 18:32:35.200,120.0
2021-03-27 18:56:13.120,120.0
2021-03-27 21:36:13.117,120.0
2021-03-28 00:16:13.130,120.0
2021-03-28 02:56:12.919,120.0
2021-03-28 05:36:13.108,120.0
2021-03-28 08:16:13.131,120.0
2021-03-28 10:56:12.956,120.0
2021-03-28 13:36:13.066,120.0
2021-03-28 16:16:13.075,120.0
2021-03-28 18:56:13.141,120.0
2021-03-28 21:36:12.932,120.0
2021-03-29 00:16:12.983,120.0
2021-03-29 02:56:13.132,120.0
2021-03-29 05:36:12.973,120.0
2021-03-29 08:16:12.995,120.0
2021-03-29 10:56:13.143,120.0
2021-03-29 13:36:12.911,120.0
2021-03-29 15:36:53.238,30.265898000000007
2021-03-29 17:47:47.840,120.0
2021-03-29 19:58:42.517,120.0
2021-03-29 22:09:37.032,120.0
2021-03-30 00:20:31.443,120.0
2021-03-30 02:31:26.196,120.0
2021-03-30 04:42:20.512,120.0
2021-03-30 06:53:15.159,120.0
2021-03-30 09:04:09.737,120.0
2021-03-30 11:15:04.181,120.0
2021-03-30 13:25:58.809,120.0
2021-03-30 15:36:53.213,120.0
2021-03-30 16:53:24.285,120.0
2021-03-30 18:24:16.488,120.0
2021-03-30 20:35:11.098,120.0
2021-03-30 22:46:05.480,120.0
2021-03-31 00:57:00.094,120.0
2021-03-31 03:07:54.509,120.0
2021-03-31 05:18:49.249,120.0
2021-03-31 07:29:43.570,120.0
2021-03-31 09:40:38.105,120.0
2021-03-31 11:51:32.740,120.0
2021-03-31 14:02:27.272,120.0
2021-03-31 16:13:21.778,120.0
2021-03-31 18:24:16.434,120.0
2021-03-31 20:35:10.979,120.0
2021-03-31 22:46:05.321,120.0
2021-04-01 00:56:59.953,120.0
2021-04-01 03:07:54.576,120.0
2021-04-01 05:18:48.929,120.0
2021-04-01 07:29:43.676,120.0
2021-04-01 09:40:38.277,120.0
2021-04-01 11:51:32.684,120.0
2021-04-01 14:02:27.137,120.0
2021-04-01 16:13:21.659,120.0
2021-04-01 18:24:16.253,120.0
2021-04-01 20:35:10.849,120.0
2021-04-01 22:46:05.396,120.0
2021-04-02 00:57:00.010,120.0
2021-04-02 03:07:54.349,120.0
2021-04-02 05:18:48.968,120.0
2021-04-02 07:29:43.588,120.0
2021-04-02 09:40:38.310,120.0
2021-04-02 11:51:32.788,120.0
2021-04-02 14:02:27.074,120.0
2021-04-02 16:13:21.700,120.0
2021-04-02 18:24:16.258,120.0
2021-04-02 20:35:10.801,120.0
2021-04-02 22:46:05.429,120.0
2021-04-03 00:56:59.782,120.0
2021-04-03 03:07:54.293,120.0
2021-04-03 05:18:48.864,120.0
2021-04-03 07:29:43.501,120.0
2021-04-03 09:40:37.997,120.0
2021-04-03 11:51:32.675,120.0
2021-04-03 14:02:27.063,120.0
2021-04-03 16:13:21.582,120.0
2021-04-03 18:24:16.062,120.0
2021-04-03 20:35:10.823,120.0
2021-04-03 22:46:05.227,120.0
2021-04-04 00:56:59.885,120.0
2021-04-04 03:07:54.416,120.0
2021-04-04 05:18:48.860,120.0
2021-04-04 07:29:43.569,120.0
2021-04-04 09:40:37.946,120.0
2021-04-04 11:51:32.570,120.0
2021-04-04 14:02:26.976,120.0
2021-04-04 16:13:21.482,120.0
2021-04-04 18:24:16.153,120.0
2021-04-04 20:35:10.709,120.0
2021-04-04 22:46:05.179,120.0
2021-04-05 00:56:59.789,120.0
2021-04-05 03:07:54.273,120.0
2021-04-05 05:18:48.847,120.0
2021-04-05 07:29:43.293,120.0
2021-04-05 09:40:37.959,120.0
